recid,assignmt,sex,age,earnings,prevearn,married,pbhous,wkless13,bfeduca,recommended_training,pred_earnings_classroom,pred_earnings_ojt,pred_earnings_other,pred_earnings_control,prob_control,prob_classroom,prob_ojt,prob_other,dr_score_classroom,dr_score_ojt,dr_score_other,dr_score_control
300001,Treatment,Female,46,1.353,0.0,Not married,No,Worked,12,other,8.015352275,12.49486426,10.80649076,9.721728366,0.3505817728128495,0.28958920896950824,0.18648011635345538,0.17334890186418678,8.015352275,12.49486426,-43.72798080767398,9.721728366
300002,Treatment,Female,24,4.984,3.591,Not married,No,Did not work,11,other,15.14830437,17.35031891,16.44677348,15.02360894,0.3440053705711151,0.24747413253638498,0.25280177379433494,0.15571872309816515,15.14830437,17.35031891,-57.16527041515745,15.02360894
300006,Treatment,Female,34,27.707,0.0,Married,No,Worked,12,classroom,7.522325223,13.46489441,13.55647495,10.05644674,0.33085616671284923,0.2598572844575483,0.24452941342595344,0.16475713540364906,85.19832656787467,13.46489441,13.55647495,10.05644674
300008,Treatment,Female,31,31.86,9.476,Not married,No,Did not work,10,OJT,17.95077508,21.16179139,19.76634931,20.68635987,0.3306305714214164,0.2015896128948923,0.334336587967777,0.13344322771591427,17.95077508,21.16179139,19.76634931,20.68635987
300012,Treatment,Male,22,48.541,0.2,Not married,Yes,Worked,12,OJT,5.385971644,15.37531279,11.85081703,11.99477481,0.38350517629119946,0.18054843398524018,0.2934450927850491,0.14250129693851132,5.385971644,15.37531279,11.85081703,11.99477481
300013,Treatment,Male,36,3.24,10.0,Married,No,Did not work,13,OJT,23.92210198,30.80184619,27.23476731,27.45579973,0.33850618722805714,0.15765627217143832,0.3013784475110483,0.20245909308945628,23.92210198,30.80184619,27.23476731,27.45579973
300014,Treatment,Female,41,8.385,0.0,Married,No,Worked,12,classroom,8.911948187,12.9352853,13.26029881,9.885621089,0.33441716588714065,0.2747064831797457,0.24030332427290085,0.15057302666021277,6.993725577542298,12.9352853,13.26029881,9.885621089
300015,Treatment,Male,24,4.036,10.339,Married,No,Did not work,12,classroom,21.49088036,29.89262317,27.51620584,26.94372679,0.30423901758346916,0.16687199866111357,0.3418906944819053,0.186998289273512,-83.10953492865283,29.89262317,27.51620584,26.94372679
300016,Treatment,Male,26,16.419,5.0,Not married,No,Did not work,12,OJT,21.27131637,21.93644468,18.17529622,19.22583231,0.34639392265569724,0.16380932307807186,0.3380035151174063,0.15179323914882453,21.27131637,21.93644468,18.17529622,19.22583231
300019,Treatment,Female,27,22.221,0.15,Not married,No,Worked,12,OJT,10.98504837,14.01215372,11.69448437,10.22627481,0.3454723018536706,0.3124970405017561,0.19014435366402427,0.15188630398054906,10.98504837,14.01215372,11.69448437,10.22627481
300022,Treatment,Female,35,1.933,1.671,Married,No,Worked,8,OJT,14.02026631,13.80453633,14.24981882,8.422733367,0.3508840492379455,0.2083913272339425,0.31802220123404457,0.12270242229406744,14.02026631,13.80453633,14.24981882,8.422733367
300025,Control,Male,49,19.541,0.0,Not married,No,Worked,12,OJT,8.332829185,13.25616564,11.50897922,13.26184033,0.31974746965091994,0.11658664016354449,0.2982837222721226,0.265382167913413,8.332829185,13.25616564,11.50897922,13.26184033
300026,Treatment,Female,40,25.766,1.569,Married,No,Did not work,12,other,8.95503223,16.52070766,14.67706863,13.41813652,0.34235992247975294,0.2594070850110998,0.22811844608383988,0.17011454642530738,8.95503223,16.52070766,79.8621548146717,13.41813652
300027,Treatment,Male,23,9.879,11.4,Married,No,Did not work,12,classroom,21.3138028,31.19547825,28.418585,27.83343968,0.28931345516325796,0.17883481622208133,0.336171165582876,0.19568056303178458,-42.62678238113158,31.19547825,28.418585,27.83343968
300028,Control,Male,34,25.199,5.0,Not married,No,Did not work,13,classroom,17.28949758,22.71584653,18.13235098,20.22543208,0.3567282026396701,0.14848193632867468,0.33454398162300825,0.160245879408647,70.55861984206284,22.71584653,18.13235098,20.22543208
300029,Treatment,Male,24,5.486,4.1039111,Not married,No,Did not work,11,other,19.68429816,20.16280503,17.29581403,17.36944143,0.34858962069751176,0.16668404529293782,0.33454888965454715,0.15017744435500335,19.68429816,20.16280503,-61.34325244713931,17.36944143
300030,Control,Female,22,24.765,3.412,Not married,No,Did not work,17,OJT,23.47037664,19.25639296,17.40961009,19.88644355,0.29313707524615407,0.20101140462257208,0.24337760563358476,0.2624739144976892,23.47037664,19.25639296,17.40961009,19.88644355
300032,Treatment,Male,31,29.78,8.0,Not married,No,Did not work,14,OJT,29.86860119,27.75987756,21.15882726,24.3781353,0.3306934057143793,0.16792892110535007,0.3340323007733921,0.1673453724068785,29.86860119,27.75987756,21.15882726,24.3781353
300033,Control,Male,28,18.888,12.3,Married,No,Did not work,12,other,21.54822499,32.29008174,29.01768551,28.23325686,0.2941056367901207,0.18417533535981565,0.3128257166952762,0.20889331115478743,21.54822499,32.29008174,-19.47446320458485,28.23325686
300035,Treatment,Female,29,33.39,7.751,Not married,Yes,Did not work,12,other,17.43752365,18.57141764,18.78220607,17.39785687,0.2950206815678936,0.188360821016749,0.3970891142038252,0.11952938321153239,17.43752365,18.57141764,140.99310967809805,17.39785687
300037,Control,Female,26,12.537,0.6,Not married,No,Worked,11,OJT,11.73087465,14.24604717,11.9713273,9.743069978,0.3467584371503721,0.30832035750637127,0.19995888967583128,0.14496231566742546,11.73087465,14.24604717,11.9713273,9.743069978
300039,Control,Female,28,48.254,6.634,Not married,No,Did not work,12,OJT,16.06525571,20.14676577,18.64344962,18.93374296,0.33584064818392523,0.23235371076913974,0.28038767998150066,0.15141796106543434,16.06525571,20.14676577,18.64344962,18.93374296
300040,Control,Female,33,23.686,0.0,Not married,Yes,Worked,10,OJT,3.930381274,13.404269,10.48079811,7.766543905,0.3347678817092293,0.3266472403965737,0.1797640874839838,0.1588207904102133,3.930381274,13.404269,10.48079811,7.766543905
300044,Treatment,Male,27,21.035,4.1039111,Not married,No,Worked,12,classroom,14.6335944,18.56639192,16.01558959,15.37632194,0.3213940604626164,0.15905208993537762,0.3702249862132801,0.14932886338872595,54.88082159834032,18.56639192,16.01558959,15.37632194
300048,Control,Female,33,10.112,0.5,Married,No,Did not work,12,other,8.378273131,15.68339868,14.21498049,12.55456757,0.3448172021349283,0.25779789255044333,0.21061397783126184,0.18677092748336657,8.378273131,15.68339868,-7.753002136018724,12.55456757
300052,Control,Female,29,33.57,8.46,Not married,No,Did not work,12,OJT,16.68691549,21.63035901,19.89302279,21.10894677,0.3290528042351715,0.22433362925283212,0.3006365898234195,0.1459769766885769,16.68691549,21.63035901,19.89302279,21.10894677
300055,Control,Female,26,27.676,8.02,Married,No,Did not work,12,OJT,13.14635609,21.82222453,19.72650765,20.61158268,0.4107734745050167,0.23575106558773912,0.24306669006740145,0.1104087698398426,13.14635609,21.82222453,19.72650765,20.61158268
300058,Treatment,Female,29,38.018,4.5,Not married,No,Did not work,12,OJT,15.73681616,18.4076234,17.11336858,16.57833483,0.3381166424408055,0.23371854810924625,0.2618006958014409,0.1663641136485074,15.73681616,18.4076234,17.11336858,16.57833483
300059,Treatment,Female,26,3.366,0.0,Not married,No,Worked,9,other,9.234638595,13.57414906,11.46557303,8.368560112,0.3513453976713287,0.3144643265034001,0.19035555082675745,0.14383472499851374,9.234638595,13.57414906,-44.84609322502773,8.368560112
300062,Treatment,Male,41,4.038,1.0,Married,No,Did not work,9,other,20.03388876,16.76509293,18.92406736,15.18022664,0.3178177156704144,0.15223417210275825,0.406122346821011,0.1238257654058164,20.03388876,16.76509293,-101.29378319164911,15.18022664
300063,Control,Female,29,13.892,4.0,Not married,No,Did not work,14,classroom,18.52028945,18.73250645,17.14739135,17.6065456,0.32039252885369257,0.22404059184254946,0.2543399225610452,0.20122695674271288,-2.13797346537676,18.73250645,17.14739135,17.6065456
300064,Control,Female,29,14.598,2.041,Not married,No,Did not work,13,OJT,16.52812113,16.65325035,15.51056004,14.83060869,0.32891016844329835,0.22843870657990287,0.24391758760697332,0.19873353736982538,16.52812113,16.65325035,15.51056004,14.83060869
