recid,radate,assignmt,site,training,afdc,sex,class_tr,ojt_jsa,oth_serv,bdate,age,earnings,prevearn,married,pbhous,hsorged,black,hispanic,f2sms,wkless13,newern01,newern02,newern03,newern04,newern05,newern06,newern07,newern08,newern09,newern10,newern11,newern12,newern13,newern14,newern15,newern16,newern17,newern18,newern19,newern20,newern21,newern22,newern23,newern24,newern25,newern26,newern27,newern28,newern29,newern30,bifrsp,employed_01,employed_02,employed_03,employed_04,employed_05,employed_06,employed_07,employed_08,employed_09,employed_10,employed_11,employed_12,employed_13,employed_14,employed_15,employed_16,employed_17,employed_18,employed_19,employed_20,employed_21,employed_22,employed_23,employed_24,employed_25,employed_26,employed_27,employed_28,employed_29,employed_30,frac_months_employed,outcome,bfeduca,reasonsa,reasonsb,reasonsc,reject
300001,05/16/89,1,NE,1,0,0,0,0,1,12/30/42,46,1353,0,0,0,1,1,0,0,1,0,0,0,0,451,451,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1,0,12,Missing,Missing,Missing,Did not reject
300002,08/30/89,1,LC,1,0,0,0,0,1,06/27/65,24,4984,3591,0,0,1,0,0,0,0,18,919,919,919,0,0,0,0,0,0,169,169,169,0,0,0,0,0,0,0,0,0,0,0,0,296,296,296,407,407,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,.40000001,0,11,Missing,Missing,Missing,Did not reject
300006,08/18/88,1,HF,0,0,0,1,0,0,09/24/53,34,27707,0,1,0,1,0,1,0,1,0,272,272,272,325,325,325,1058,1058,1058,935,935,935,1126,1126,1126,1092,1092,1092,1282,1282,1282,1099,1099,1099,1282,1282,1282,1147,1147,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,.96666664,1,12,No Choice,Other,No Other,Did not reject
300008,03/08/89,1,IN,0,0,0,0,1,0,07/19/57,31,31860,9476,0,0,1,0,0,0,0,681,681,681,1281,1281,1281,697,697,697,1373,1373,1373,1264,1264,1264,448,448,448,1153,1153,1153,634,634,634,1790,1790,1790,1299,1299,1299,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Missing,Missing,Missing,Did not reject
300010,11/16/88,0,CV,0,0,0,0,1,0,01/05/66,22,26615,9600,.21116078,1,0,0,0,0,0,401,1458,1458,1458,1555,1555,1555,1394,1394,1394,1261,1261,1261,1274,1274,1274,674,674,674,30,30,30,723,723,723,369,369,369,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,.93333334,1,09,Missing,Missing,Missing,Did not reject
300012,04/26/88,1,JK,1,0,1,0,1,0,12/05/65,22,48541,200,0,1,1,1,0,1,1,319,309,1569,1869,1809,1869,1809,1869,1869,1688,1869,1809,1869,1809,1869,1869,1510,1550,1658,1698,1550,1485,1647,1594,1647,1594,1647,1647,1594,1647,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,Missing,Missing,Missing,Did not reject
300013,10/11/88,1,SM,0,0,1,0,1,0,09/25/52,36,3240,10000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,202,202,202,878,878,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.2,0,13,No Choice,Took Job,No Other,Rejected JTPA
300014,08/25/88,1,HF,1,0,0,1,0,0,10/18/46,41,8385,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,93,93,93,1155,1155,1155,685,685,685,754,754,754,101,101,101,7,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,.60000002,1,12,Missing,Missing,Missing,Did not reject
300015,02/06/89,1,SM,1,0,1,1,0,0,06/09/64,24,4036,10339,1,0,0,0,0,0,0,656,0,0,0,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,.89999998,1,12,Missing,Missing,Missing,Did not reject
300016,07/27/88,1,SM,0,0,1,0,1,0,03/29/62,26,16419,5000,0,0,1,0,0,1,0,0,0,1209,1344,1388,1388,1254,1388,1344,1388,1344,537,0,0,0,0,230,821,505,1142,1137,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,.5,1,12,Missing,Missing,Missing,Did not reject
300019,12/15/88,1,CC,0,0,0,0,1,0,04/10/61,27,22221,150,0,0,1,0,0,1,1,275,249,504,1124,1161,1124,1161,1161,1124,1161,1124,1161,1161,1049,1161,1124,1075,266,17,0,0,0,0,0,224,899,995,963,995,963,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,.83333331,1,12,Missing,Missing,Missing,Did not reject
300022,07/14/88,1,CC,0,0,0,0,1,0,03/10/53,35,1933,1671,1,0,0,0,1,0,1,221,221,497,497,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.16666667,0,08,Missing,Missing,Missing,Did not reject
300025,01/20/88,0,PR,0,0,1,0,1,0,12/03/38,49,19541,0,0,0,0,0,0,1,1,1105,1105,1105,1105,1105,0,0,0,1176,1176,1176,1356,1356,1356,1207,1207,1207,862,862,862,22,22,22,0,0,0,49,49,49,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,.76666665,1,12,Not Chosen,Control,Other,Did not reject
300026,01/31/89,1,LC,1,0,0,0,0,1,12/18/48,40,25766,1569,1,0,1,0,0,0,0,0,0,0,0,0,1001,1001,1001,1100,1100,1100,1238,1238,1238,1144,1144,1144,1360,1360,1360,1142,1142,1142,0,0,0,1181,1181,1181,1268,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,.73333335,1,12,Missing,Missing,Missing,Did not reject
300027,12/09/88,1,JK,1,0,1,1,0,0,01/07/65,23,9879,11400,1,0,1,1,0,0,0,554,554,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,913,913,913,913,913,913,913,913,913,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,.40000001,0,12,Missing,Missing,Missing,Did not reject
300028,08/01/88,0,OK,0,0,1,1,0,0,12/01/53,34,25199,5000,0,0,1,0,0,1,0,714,771,857,714,926,960,1063,1029,1063,1029,1063,1063,1029,1393,1500,1550,1550,1400,1550,938,0,293,350,350,339,350,339,350,350,316,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,.96666664,1,13,Missing,Missing,Missing,Did not reject
300029,08/19/88,1,HF,0,0,1,0,0,1,09/09/63,24,5486,4103.9111,0,0,0,0,0,1,0,455,365,365,365,718,718,718,261,261,261,333,333,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.43333334,0,11,Missing,Missing,Missing,Did not reject
300030,06/03/88,0,JK,0,0,0,0,1,0,09/22/65,22,24765,3412,0,0,1,0,0,0,0,1088,1088,1088,954,954,954,922,922,922,1159,1159,1159,1228,1228,1228,1220,1220,1220,0,0,0,608,608,608,482,482,482,594,594,594,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,.89999998,1,17,Other,No Other,Missing,Did not reject
300032,03/16/89,1,MN,0,0,1,0,1,0,09/03/57,31,29780,8000,0,0,1,0,0,1,0,853,1017,984,1017,1017,984,1017,984,1017,1017,918,1017,984,1017,984,1017,1017,982,1014,982,1014,1014,916,1014,982,1014,982,1014,1014,977,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,Other,No Other,Missing,Did not reject
300033,07/26/89,0,IN,0,0,1,0,0,1,11/06/60,28,18888,12300,1,0,1,0,0,1,0,263,263,325,325,325,702,702,702,381,381,381,827,827,827,1152,1152,1152,1037,1037,1037,831,831,831,371,371,371,371,371,371,371,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,Not Chosen,No Other,Missing,Did not reject
300034,03/06/89,1,PR,0,0,1,0,0,1,09/26/49,39,16773,4103.9111,0,0,.68767726,0,0,0,.40733594,877,877,877,725,725,725,642,642,642,0,0,0,0,0,0,137,137,137,477,477,477,731,731,731,982,982,982,1020,1020,1020,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,.80000001,1,14,Missing,Missing,Missing,Did not reject
300035,03/06/89,1,LC,1,0,0,0,0,1,07/24/59,29,33390,7751,0,1,1,0,0,0,0,1190,1190,1190,1748,1748,1748,2640,2640,2640,1191,1191,1191,1101,1101,1101,1259,1259,1259,1074,1074,1074,0,0,0,561,561,561,366,366,366,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,.89999998,1,12,Missing,Missing,Missing,Did not reject
300037,06/13/88,0,CV,0,0,0,0,1,0,02/12/62,26,12537,600,0,0,0,0,0,0,1,1379,1379,1379,1697,1697,1697,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,1035,1035,1035,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,.5,1,11,Not Chosen,Control,No Other,Did not reject
300039,11/04/88,0,IN,0,0,0,0,1,0,04/11/60,28,48254,6634,0,0,1,0,0,0,0,1108,1229,1229,1229,1559,1559,1559,1868,1868,1868,2558,2558,2558,1696,1696,1696,1232,1232,1232,2003,2003,2003,2044,2044,2044,963,963,963,845,845,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,Missing,Missing,Missing,Did not reject
300040,01/27/89,0,NE,0,1,0,0,1,0,12/30/55,33,23686,0,0,1,0,1,0,0,1,0,0,264,264,264,66,66,66,384,384,384,370,370,370,1070,1070,1070,1219,1219,1219,1266,1266,1266,1492,1492,1492,1225,1225,1225,1618,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,.93333334,1,10,Not Chosen,No Other,Missing,Did not reject
300041,02/26/88,1,CV,1,0,0,1,0,0,10/30/44,43,0,2444.656,1,0,0,0,0,1,.53322983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Other,Other,No Other,Did not reject
300044,07/12/88,1,JK,1,0,1,1,0,0,01/12/61,27,21035,4103.9111,0,0,1,1,0,0,1,225,225,908,908,908,622,622,622,1044,1044,1044,0,0,0,1442,1442,1442,613,613,613,548,548,548,1062,1062,1062,467,467,467,467,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,.89999998,1,12,Missing,Missing,Missing,Did not reject
300047,11/29/88,0,PR,0,0,1,0,0,1,08/29/57,31,1184,4103.9111,0,0,0,1,0,0,.40733594,338,282,282,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.13333334,0,11,Other,No Other,Missing,Did not reject
300048,04/05/89,0,LC,0,0,0,0,0,1,10/24/55,33,10112,500,1,0,1,0,0,0,0,0,0,200,200,200,564,564,564,542,542,542,460,460,460,18,18,18,33,33,33,96,96,96,651,651,651,541,541,541,797,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,.93333334,1,12,Not Chosen,No Other,Missing,Did not reject
300052,09/08/88,0,IN,0,0,0,0,1,0,02/16/59,29,33570,8460,0,0,1,0,0,0,0,726,726,726,969,969,969,1107,1107,1107,1226,1226,1226,1270,1270,1270,946,946,946,1183,1183,1183,1088,1088,1088,1571,1571,1571,1104,1104,1104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,Other,No Other,Missing,Did not reject
300054,05/02/89,0,CI,0,0,1,0,1,0,04/13/66,23,12301,2500,0,0,0,0,0,0,.40733594,481,783,783,783,1281,1281,1281,1184,1184,1184,692,692,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.43333334,0,09,Other,No Other,Missing,Did not reject
300055,01/04/89,0,MT,0,0,0,0,1,0,02/19/62,26,27676,8020,1,0,1,0,0,1,0,398,441,426,441,426,441,441,426,441,426,441,441,398,441,426,441,426,426,1625,1576,1654,1610,1681,1710,1553,1728,1678,1720,1669,1725,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,Not Chosen,No Other,Missing,Did not reject
300057,02/07/89,0,SM,0,0,1,0,1,0,02/11/59,29,57676,13000,1,0,1,0,0,1,.40733594,1923,1858,1923,1858,1923,1923,1858,1923,1858,1923,1923,1735,1923,1858,1851,2321,1547,1278,1048,1083,1048,1083,1083,979,1083,1048,3986,3857,3986,3986,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,Control,No Other,Missing,Did not reject
300058,01/29/88,1,IN,1,0,0,0,1,0,03/11/58,29,38018,4500,0,0,1,1,0,0,0,80,80,405,405,405,621,621,621,1065,1065,1065,1439,1439,1439,1736,1736,1736,1514,1514,1514,1750,1750,1750,1687,1687,1687,1856,1856,1856,1639,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,Missing,Missing,Missing,Did not reject
300059,02/10/88,1,PR,1,1,0,0,0,1,08/24/61,26,3366,0,0,0,0,0,0,1,1,102,102,102,102,0,0,0,0,0,0,0,0,0,0,0,0,728,728,728,0,0,0,0,0,0,0,0,0,387,387,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,.30000001,0,09,Missing,Missing,Missing,Did not reject
300062,11/17/88,1,CV,1,0,1,0,0,1,08/17/47,41,4038,1000,1,0,0,0,0,0,0,954,1028,1028,1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.13333334,0,09,Missing,Missing,Missing,Did not reject
300063,08/30/88,0,MN,1,1,0,1,0,0,02/09/59,29,13892,4000,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,1153,1261,1221,1261,1261,1221,1261,1221,1261,1261,1140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,.40000001,0,14,Missing,Missing,Missing,Did not reject
300064,06/09/88,0,JK,0,0,0,0,1,0,07/08/58,29,14598,2041,0,0,1,1,0,0,0,456,456,456,717,717,717,990,990,990,541,541,541,675,675,675,444,444,444,459,459,459,4,4,4,350,350,350,230,230,230,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,Control,No Other,Missing,Did not reject
300066,08/31/88,1,IN,1,1,0,0,1,0,01/24/59,29,439,0,0,0,.71640396,0,0,1,1,97,114,114,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.13333334,0,09,Other,No Other,Missing,Did not reject
300070,05/27/88,0,CC,0,0,1,0,0,1,07/10/58,29,9794,4103.9111,0,0,1,0,1,1,.40733594,0,0,0,0,0,249,239,0,272,283,112,498,482,498,498,482,498,482,499,499,450,499,482,499,482,423,348,336,348,336,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,.80000001,1,12,Control,Needed Job,Took Job,Did not reject
300074,08/24/88,1,CI,1,0,1,0,1,0,07/12/63,25,20609,0,1,0,1,0,0,1,1,488,1445,1445,1445,1393,1393,1393,1528,1528,1528,1549,1549,1549,792,792,792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.53333336,1,15,Took Job,No Other,Missing,Did not reject
300075,06/30/89,0,NE,0,1,0,1,0,0,12/29/66,22,37644,3500,0,0,1,0,1,0,0,686,686,686,1140,1140,1140,1091,1091,1091,1589,1589,1589,1426,1426,1426,1629,1629,1629,1200,1200,1200,1337,1337,1337,1225,1225,1225,1225,1225,1225,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,Missing,Missing,Missing,Did not reject
300076,01/22/88,1,JC,0,0,1,0,1,0,11/04/65,22,21219,5200,0,1,1,1,0,1,0,857,0,1157,1196,1157,1121,1693,1638,1693,1365,0,0,0,0,0,0,0,0,0,0,0,0,0,723,1333,1476,1429,1476,1429,1476,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,.53333336,1,10,Needed Job,Changed Mind,Control,Rejected JTPA
300077,09/26/88,0,LC,0,0,0,0,0,1,02/04/40,48,9747,4500,0,0,1,0,0,0,0,666,666,666,1029,1029,1029,438,438,438,277,277,277,103,103,103,25,25,25,346,346,346,29,29,29,336,336,336,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,.89999998,1,12,Not Chosen,No Other,Missing,Did not reject
